East wrestler,West wrestler,Winner
Ryuden,Kotoeiho,Kotoeiho
Fujiryoga,Kinbozan,Kinbozan
Asahakuryu,Mitakeumi,Mitakeumi
Chiyoshoma,Nishikifuji,Nishikifuji
Fujiseiun,Asanoyama,Fujiseiun
Asakoryu,Tobizaru,Asakoryu
Shishi,Oshoumi,Shishi
Gonoyama,Roga,Gonoyama
Tokihayate,Tamawashi,Tokihayate
Ura,Shodai,Ura
Oshoma,Hakunofuji,Oshoma
Ichiyamamoto,Onokatsu,Ichiyamamoto
Abi,Kotoshoho,Kotoshoho
Daieisho,Takanosho,Takanosho
Hiradoumi,Oho,Hiradoumi
Churanoumi,Takayasu,Takayasu
Kirishima,Fujinokawa,Kirishima
Yoshinofuji,Kotozakura,Kotozakura
Aonishiki,Wakamotoharu,Aonishiki
Wakatakakage,Onosato,Wakatakakage
Hoshoryu,Atamifuji,Hoshoryu
